list,order,item,audio,condition,concept,prime,colour_repetition,prime_description,target_description,boxed_object,target_noun,target_colour,target_pattern,prime_noun,prime_colour,target_pattern,prime_pattern,filler_prime_category,filler_target_category,target_object,distractor1_sameN_sameC_DiffP,distractor2_sameN_DiffC_sameP,distractor4_sameN_DiffC_DiffP,distractor3_DiffNoun_sameC_sameP,distractor6_DiffN_SameC_DiffP,distractor5_repeated_diffN_diffColor_sameP,distractor7_non_repeated_prime_DiffN_DiffC_DiffP,alternative noun,alternative colour,alternative pattern,targetPosition,distractor1_sameN_sameC_DiffP,distractor2_sameN_DiffC_sameP,distractor4_sameN_DiffC_DiffP,distractor3_DiffNoun_sameC_sameP,distractor6_repeated_prime_DiffN_SameC_DiffP,distractor5_repeated_diffN_diffColor_sameP,distractor7_non_repeated_prime_DiffN_DiffC_DiffP,expTrials,targetImg,boxPos,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8,recordingName
1,5,1,01_CP_AAN_non.mp3,1,CP,AAN,non-repeated,The blue spotted circle,green striped train,train_green_striped,train,green,striped,circle,blue,striped,spotted,,,train_green_striped,train_green_spotted,train_blue_striped,train_blue_spotted,circle_green_striped,circle_green_spotted,circle_blue_striped,circle_blue_spotted,circle,blue,spotted,1,3,5,4,7,8,6,2,Y,2,1,train_green_striped.png,circle_blue_spotted.png,train_green_spotted.png,train_blue_spotted.png,train_blue_striped.png,circle_blue_striped.png,circle_green_striped.png,circle_green_spotted.png,Y_List1_Order5_Item-1_Cond1
2,5,1,01_CP_AAN_rep.mp3,2,CP,AAN,repeated,The blue striped circle,green striped train,train_green_striped,train,green,striped,circle,blue,striped,striped,,,train_green_striped,train_green_spotted,train_blue_striped,train_blue_spotted,circle_green_striped,circle_green_spotted,circle_blue_striped,circle_blue_spotted,circle,blue,spotted,1,3,5,4,7,8,6,2,Y,6,1,train_green_striped.png,circle_blue_spotted.png,train_green_spotted.png,train_blue_spotted.png,train_blue_striped.png,circle_blue_striped.png,circle_green_striped.png,circle_green_spotted.png,Y_List2_Order5_Item-1_Cond2
3,5,1,01_CP_RC_non.mp3,3,CP,RC,non-repeated,The blue circle that's spotted,green striped train,train_green_striped,train,green,striped,circle,blue,striped,spotted,,,train_green_striped,train_green_spotted,train_blue_striped,train_blue_spotted,circle_green_striped,circle_green_spotted,circle_blue_striped,circle_blue_spotted,circle,blue,spotted,1,3,5,4,7,8,6,2,Y,2,1,train_green_striped.png,circle_blue_spotted.png,train_green_spotted.png,train_blue_spotted.png,train_blue_striped.png,circle_blue_striped.png,circle_green_striped.png,circle_green_spotted.png,Y_List3_Order5_Item-1_Cond3
4,5,1,01_CP_RC_rep.mp3,4,CP,RC,repeated,The blue circle that's striped,green striped train,train_green_striped,train,green,striped,circle,blue,striped,striped,,,train_green_striped,train_green_spotted,train_blue_striped,train_blue_spotted,circle_green_striped,circle_green_spotted,circle_blue_striped,circle_blue_spotted,circle,blue,spotted,1,3,5,4,7,8,6,2,Y,6,1,train_green_striped.png,circle_blue_spotted.png,train_green_spotted.png,train_blue_spotted.png,train_blue_striped.png,circle_blue_striped.png,circle_green_striped.png,circle_green_spotted.png,Y_List4_Order5_Item-1_Cond4
5,5,1,01_PC_AAN_non.mp3,5,PC,AAN,non-repeated,The spotted blue circle,green striped train,train_green_striped,train,green,striped,circle,blue,striped,spotted,,,train_green_striped,train_green_spotted,train_blue_striped,train_blue_spotted,circle_green_striped,circle_green_spotted,circle_blue_striped,circle_blue_spotted,circle,blue,spotted,1,3,5,4,7,8,6,2,Y,2,1,train_green_striped.png,circle_blue_spotted.png,train_green_spotted.png,train_blue_spotted.png,train_blue_striped.png,circle_blue_striped.png,circle_green_striped.png,circle_green_spotted.png,Y_List5_Order5_Item-1_Cond5
6,5,1,01_PC_AAN_rep.mp3,6,PC,AAN,repeated,The striped blue circle,green striped train,train_green_striped,train,green,striped,circle,blue,striped,striped,,,train_green_striped,train_green_spotted,train_blue_striped,train_blue_spotted,circle_green_striped,circle_green_spotted,circle_blue_striped,circle_blue_spotted,circle,blue,spotted,1,3,5,4,7,8,6,2,Y,6,1,train_green_striped.png,circle_blue_spotted.png,train_green_spotted.png,train_blue_spotted.png,train_blue_striped.png,circle_blue_striped.png,circle_green_striped.png,circle_green_spotted.png,Y_List6_Order5_Item-1_Cond6
7,5,1,01_PC_RC_non.mp3,7,PC,RC,non-repeated,The spotted circle that's blue,green striped train,train_green_striped,train,green,striped,circle,blue,striped,spotted,,,train_green_striped,train_green_spotted,train_blue_striped,train_blue_spotted,circle_green_striped,circle_green_spotted,circle_blue_striped,circle_blue_spotted,circle,blue,spotted,1,3,5,4,7,8,6,2,Y,2,1,train_green_striped.png,circle_blue_spotted.png,train_green_spotted.png,train_blue_spotted.png,train_blue_striped.png,circle_blue_striped.png,circle_green_striped.png,circle_green_spotted.png,Y_List7_Order5_Item-1_Cond7
8,5,1,01_PC_RC_rep.mp3,8,PC,RC,repeated,The striped circle that's blue,green striped train,train_green_striped,train,green,striped,circle,blue,striped,striped,,,train_green_striped,train_green_spotted,train_blue_striped,train_blue_spotted,circle_green_striped,circle_green_spotted,circle_blue_striped,circle_blue_spotted,circle,blue,spotted,1,3,5,4,7,8,6,2,Y,6,1,train_green_striped.png,circle_blue_spotted.png,train_green_spotted.png,train_blue_spotted.png,train_blue_striped.png,circle_blue_striped.png,circle_green_striped.png,circle_green_spotted.png,Y_List8_Order5_Item-1_Cond8
1,6,f19,f19RC.mp3,9,,RC,,The small fish that's facing left,large fish that's facing right,,fish,,,fish,,,,directionoun category,size,fishLargeRight,,,,,,,,,,,,,,,,,,,N,1,7,fishSmallLeft.png,monkeySmallLeft.png,fishSmallRight.png,fishLargeLeft.png,monkeyLargeRight.png,monkeySmallRight.png,fishLargeRight.png,monkeyLargeRight.png,N_List1_Order6_Item-f19_Cond9
2,6,f19,f19RC.mp3,9,,RC,,The small fish that's facing left,large fish that's facing right,,fish,,,fish,,,,directionoun category,size,fishLargeRight,,,,,,,,,,,,,,,,,,,N,1,7,fishSmallLeft.png,monkeySmallLeft.png,fishSmallRight.png,fishLargeLeft.png,monkeyLargeRight.png,monkeySmallRight.png,fishLargeRight.png,monkeyLargeRight.png,N_List2_Order6_Item-f19_Cond9
